Nikita,Ershov,Nikolaevich,1991.6.7,ErshovNikita1991@google.com,70000,TRUE
Ivan,Lazarev,Nikolaevich,1997.6.27,LazarevIvan1997@mail.ru,120000,TRUE
Lev,Fedotov,Sergeevich,1982.1.28,FedotovLev1982@mail.ru,30000,TRUE
Eva,Osipova,Davidovna,1989.9.20,OsipovaEva1989@google.com,125000,FALSE
Rita,Sidorova,Davidovna,1992.11.26,SidorovaRita1992@google.com,130000,TRUE
Eva,Zueva,Maksimovna,1990.7.13,ZuevaEva1990@yandex.ru,165000,FALSE
Varvara,Zueva,Nikolaevna,1996.6.20,ZuevaVarvara1996@google.com,190000,FALSE
Violetta,Popova,Zaharovna,1989.5.28,PopovaVioletta1989@mail.ru,155000,FALSE
Eva,Lazareva,Aleksandrovna,1980.6.8,LazarevaEva1980@google.com,45000,FALSE
Alexey,Lebedev,Nikolaevich,1998.3.19,LebedevAlexey1998@yandex.ru,165000,FALSE
Ekaterina,Ershova,Sergeevna,1987.7.10,ErshovaEkaterina1987@google.com,145000,FALSE
Rita,Belova,Nikolaevna,1980.2.26,BelovaRita1980@google.com,85000,FALSE
Larisa,Popova,Zaharovna,2000.12.27,PopovaLarisa2000@mail.ru,150000,FALSE
David,Sokolov,Petrovich,1987.5.17,SokolovDavid1987@yandex.ru,30000,FALSE
Nikolay,Fedotov,Zaharovich,1991.2.10,FedotovNikolay1991@mail.ru,55000,FALSE
Sergey,Popov,Maksimovich,1983.12.5,PopovSergey1983@mail.ru,75000,TRUE
Elena,Belova,Gennadievna,1989.1.16,BelovaElena1989@google.com,60000,FALSE
Rita,Popova,Aleksandrovna,1989.8.4,PopovaRita1989@yandex.ru,85000,FALSE
Nikita,Belov,Davidovich,2000.12.27,BelovNikita2000@mail.ru,65000,TRUE
Eva,Ershova,Davidovna,1994.5.16,ErshovaEva1994@yandex.ru,180000,FALSE
Nikita,Sokolov,Gennadievich,1995.9.19,SokolovNikita1995@google.com,35000,TRUE
Lev,Lebedev,Aleksandrovich,2000.10.8,LebedevLev2000@google.com,105000,TRUE
Oksana,Semenova,Gennadievna,1994.7.13,SemenovaOksana1994@google.com,100000,FALSE
Oksana,Zueva,Sergeevna,1995.10.26,ZuevaOksana1995@mail.ru,85000,FALSE
Rita,Lazareva,Zaharovna,1983.5.25,LazarevaRita1983@google.com,100000,TRUE
Varvara,Lebedeva,Alexeyevna,1992.8.10,LebedevaVarvara1992@yandex.ru,125000,TRUE
Ekaterina,Lebedeva,Petrovna,1981.4.14,LebedevaEkaterina1981@yandex.ru,15000,FALSE
Sergey,Fedotov,Aleksandrovich,1987.10.11,FedotovSergey1987@mail.ru,115000,TRUE
Elena,Sidorova,Nikolaevna,1992.8.20,SidorovaElena1992@google.com,155000,FALSE
Yulia,Ershova,Gennadievna,1986.8.15,ErshovaYulia1986@mail.ru,60000,FALSE
Violetta,Sidorova,Gennadievna,1995.10.16,SidorovaVioletta1995@yandex.ru,65000,FALSE
Larisa,Semenova,Zaharovna,1986.8.5,SemenovaLarisa1986@yandex.ru,45000,FALSE
Valeria,Semenova,Zaharovna,1987.2.2,SemenovaValeria1987@mail.ru,60000,FALSE
Nikita,Semenov,Nikolaevich,1983.8.2,SemenovNikita1983@mail.ru,135000,FALSE
Eva,Fedotova,Nikolaevna,1981.1.27,FedotovaEva1981@mail.ru,130000,TRUE
Elena,Fedotova,Ivanovna,1991.11.2,FedotovaElena1991@google.com,110000,FALSE
Petr,Popov,Gennadievich,1988.6.11,PopovPetr1988@mail.ru,150000,FALSE
Oleg,Lebedev,Aleksandrovich,1981.5.2,LebedevOleg1981@mail.ru,105000,FALSE
Eva,Ershova,Vasilievna,1985.10.9,ErshovaEva1985@google.com,35000,FALSE
Pavel,Zuev,Ivanovich,1981.12.12,ZuevPavel1981@google.com,175000,FALSE
